EID,4way time (us),activity,alias,anqp time (us),ap,beacon,bps rx,bps rx ll,bps tx,bps tx ll,bytes rx ll,bytes tx ll,channel,collisions,connections,crypt,cx ago,cx time (us),device,dhcp (ms),down,entity id,gateway ip,ip,ipv6 address,ipv6 gateway,key/phrase,login-fail,login-ok,logout-fail,logout-ok,mac,mask,misc,mode,mtu,no cx (us),noise,parent dev,phantom,port,port type,pps rx,pps tx,qlen,reset,retry failed,rx bytes,rx crc,rx drop,rx errors,rx fifo,rx frame,rx length,rx miss,rx over,rx pkts,rx-rate,sec,signal,ssid,status,time-stamp,tx abort,tx bytes,tx crr,tx errors,tx fifo,tx hb,tx pkts,tx wind,tx-failed %,tx-rate,wifi retries
1.1.eth0,0,0,eth0,0,,0,50510,66822,1705858,1735960,25879968,895255609,[channel: 0],0,0,0,0,0,eth0,0,FALSE,NA,192.168.200.1,192.168.200.31,fe80::203:2dff:fe3f:7f68/64,DELETED,,0,0,0,0,00:03:2d:3f:7f:68,255.255.255.0,0,,1500,0,,,FALSE,1.1.000,Ethernet,84,156,1000,Complete,0,20680056,0,6970,0,0,0,0,0,0,216663,1 Gbps,0,,,,21:17.4,0,878896705,0,0,0,0,681621,0,0,1 Gbps,0
1.1.eth1,0,0,eth1,0,,0,666018,899498,109210541,110947196,7539445290,72166376684,[channel: 1],0,0,0,0,0,eth1,20417,FALSE,NA,0.0.0.0,192.168.50.201,fe80::203:2dff:fe3f:7f69/64,DELETED,,0,0,0,0,00:03:2d:3f:7f:69,255.255.255.0,0,,1500,0,,,FALSE,1.1.001,Ethernet,1216,9045,1000,Complete,0,7319121186,0,0,0,0,0,0,0,0,9180171,1 Gbps,0,,,,21:20.1,0,70827359156,0,0,0,0,55792397,0,0,1 Gbps,0
1.1.wiphy0,0,23,wiphy0,0,,0,140462453,140462453,927591,927591,57006249877,7484601746,0,5717469,0,0,0,0,wiphy0,0,FALSE,NA,0.0.0.0,0.0.0.0,DELETED,DELETED,,0,0,0,0,04:f0:21:55:c4:9f,0.0.0.0,7,802.11an-AC,1500,0,,,FALSE,1.1.002,WIFI-Radio,11468,1342,0,Complete,120881,57006249877,617386,0,0,0,40306,0,0,0,16734655,360 Kbps,0,,,,21:20.6,0,7484601746,0,0,1031,0,9182612,0,39.18334579,,5717469
1.1.wiphy1,0,0,wiphy1,0,,0,0,0,0,0,235772,0,-1,0,0,0,0,0,wiphy1,0,FALSE,NA,0.0.0.0,0.0.0.0,DELETED,DELETED,,0,0,0,0,04:f0:21:54:c3:dc,0.0.0.0,22,802.11bgn-AC,1500,0,,,FALSE,1.1.003,WIFI-Radio,0,0,0,Complete,0,235772,118,0,0,0,0,0,0,0,0,360 Kbps,0,,,,21:21.3,0,0,0,0,0,0,0,0,0,,0
1.1.wiphy2,0,0,wiphy2,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,wiphy2,0,FALSE,NA,0.0.0.0,0.0.0.0,DELETED,DELETED,,0,0,0,0,4c:1d:96:6c:ab:f6,0.0.0.0,0,802.11abgn-AX,1500,0,,,FALSE,1.1.004,WIFI-Radio,0,0,0,Complete,0,0,0,0,0,0,0,0,0,0,0,0 bps,0,,,,21:20.6,0,0,0,0,0,0,0,0,0,,0
1.1.wiphy3,0,0,wiphy3,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,wiphy3,0,FALSE,NA,0.0.0.0,0.0.0.0,DELETED,DELETED,,0,0,0,0,5c:80:b6:59:5a:42,0.0.0.0,0,802.11abgn-AX,1500,0,,,FALSE,1.1.005,WIFI-Radio,0,0,0,Complete,0,0,0,0,0,0,0,0,0,0,0,0 bps,0,,,,21:20.6,0,0,0,0,0,0,0,0,0,,0
1.1.sta00000,0,23,sta00000,0,04:D4:C4:4F:BB:9C,0,2309095,2309095,16039,16039,23870848,165816,36,0,1,0,58.646 s,6970,sta00000,23619,FALSE,NA,192.168.50.1,192.168.50.49,fe80::6f0:21ff:fe24:c49f/64,DELETED,,0,0,0,0,04:f0:21:24:c4:9f,255.255.255.0,15,802.11an-AC 160,1500,4229360,-102 dBm,wiphy0,FALSE,1.1.006,WIFI-STA,198,22,1000,Complete,6,23870848,0,0,0,0,0,0,0,0,16408,877.5 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,165816,0,0,0,0,1894,0,2.176165819,1170.2 Mbps,36
1.1.sta00001,0,23,sta00001,0,04:D4:C4:4F:BB:9C,0,1909744,1909744,13881,13881,19706418,143240,36,0,1,0,59.155 s,23768,sta00001,24342,FALSE,NA,192.168.50.1,192.168.50.158,fe80::6f0:21ff:fefc:419f/64,DELETED,,0,0,0,0,04:f0:21:fc:41:9f,255.255.255.0,14,802.11an-AC 160,1500,3726399,-102 dBm,wiphy0,FALSE,1.1.007,WIFI-STA,166,19,1000,Complete,17,19706418,0,0,0,0,0,0,0,0,13721,702 Mbps,0,-35 dBm,ASUSAP,Authorized,21:20.6,0,143240,0,0,0,0,1618,0,3.612281799,1170.2 Mbps,43
1.1.sta00002,0,23,sta00002,0,04:D4:C4:4F:BB:9C,0,2276953,2276953,15468,15468,23495602,159620,36,0,1,0,59.087 s,24814,sta00002,24042,FALSE,NA,192.168.50.1,192.168.50.216,fe80::6f0:21ff:fec4:249f/64,DELETED,,0,0,0,0,04:f0:21:c4:24:9f,255.255.255.0,14,802.11an-AC 160,1500,3767525,-102 dBm,wiphy0,FALSE,1.1.008,WIFI-STA,196,22,1000,Complete,10,23495602,0,0,0,0,0,0,0,0,16244,975 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,159620,0,0,0,0,1824,0,1.733477831,1170.2 Mbps,22
1.1.sta00003,0,23,sta00003,0,04:D4:C4:4F:BB:9C,0,2341469,2341469,15470,15470,24161334,159638,36,0,1,0,59.122 s,17144,sta00003,24106,FALSE,NA,192.168.50.1,192.168.50.167,fe80::6f0:21ff:fe8f:cc9f/64,DELETED,,0,0,0,0,04:f0:21:8f:cc:9f,255.255.255.0,15,802.11an-AC 160,1500,3736398,-102 dBm,wiphy0,FALSE,1.1.009,WIFI-STA,202,21,1000,Complete,29,24161334,0,0,0,0,0,0,0,0,16689,702 Mbps,0,-33 dBm,ASUSAP,Authorized,21:20.6,0,159638,0,0,0,0,1809,0,6.019007206,1170.2 Mbps,85
